ID,label
S0,5
S1,3
S2,4
S3,1
S4,3
S5,5
S6,1
S7,5
S8,0
S9,1
S10,1
S11,4
S12,3
S13,0
S14,1
S15,3
S16,0
S17,3
S18,1
S19,1
S20,1
S21,1
S22,1
S23,0
S24,5
S25,0
S26,0
S27,5
S28,0
S29,5
S30,1
S31,5
S32,3
S33,5
S34,3
S35,5
S36,1
S37,5
S38,5
S39,1
S40,5
S41,1
S42,0
S43,3
S44,1
S45,5
S46,5
S47,1
S48,1
S49,1
S50,4
S51,3
S52,1
S53,4
S54,3
S55,1
S56,1
S57,1
S58,5
S59,5
S60,0
S61,1
S62,0
S63,0
S64,1
S65,3
S66,3
S67,2
S68,4
S69,1
S70,1
S71,4
S72,4
S73,3
S74,0
S75,5
S76,5
S77,4
S78,1
S79,0
S80,0
S81,0
S82,1
S83,1
S84,3
S85,3
S86,1
S87,1
S88,0
S89,2
S90,5
S91,1
S92,5
S93,0
S94,1
S95,0
S96,1
S97,0
S98,1
S99,3
S100,1
S101,4
S102,1
S103,0
S104,3
S105,0
S106,2
S107,0
S108,2
S109,5
S110,4
S111,1
S112,3
S113,3
S114,1
S115,1
S116,1
S117,0
S118,1
S119,4
S120,1
S121,1
S122,1
S123,3
S124,5
S125,1
S126,0
S127,0
S128,0
S129,4
S130,3
S131,4
S132,0
S133,5
S134,0
S135,1
S136,0
S137,1
S138,0
S139,1
S140,3
S141,5
S142,1
S143,0
S144,3
S145,4
S146,0
S147,4
S148,2
S149,1
S150,5
S151,1
S152,3
S153,5
S154,4
S155,0
S156,1
S157,1
S158,5
S159,1
S160,1
S161,3
S162,0
S163,5
S164,5
S165,1
S166,3
S167,5
S168,1
S169,1
S170,1
S171,1
S172,0
S173,4
S174,4
S175,1
S176,0
S177,4
S178,0
S179,0
S180,1
S181,4
S182,0
S183,3
S184,3
S185,1
S186,5
S187,1
S188,1
S189,5
S190,1
S191,0
S192,4
S193,1
S194,1
S195,5
S196,3
S197,5
S198,0
S199,1
S200,3
S201,0
S202,0
S203,3
S204,0
S205,2
S206,1
S207,3
S208,4
S209,0
S210,1
S211,0
S212,1
S213,1
S214,3
S215,5
S216,5
S217,5
S218,0
S219,5
S220,0
S221,3
S222,1
S223,3
S224,4
S225,1
S226,1
S227,5
S228,4
S229,0
S230,1
S231,1
S232,1
S233,1
S234,4
S235,1
S236,1
S237,3
S238,3
S239,3
S240,5
S241,3
S242,3
S243,3
S244,1
S245,0
S246,4
S247,1
S248,5
S249,3
S250,5
S251,3
S252,1
S253,4
S254,1
S255,3
S256,1
S257,0
S258,1
S259,1
S260,1
S261,0
S262,3
S263,3
S264,5
S265,4
S266,1
S267,0
S268,0
S269,3
S270,0
S271,1
S272,0
S273,1
S274,4
S275,4
S276,1
S277,3
S278,4
S279,0
S280,1
S281,3
S282,1
S283,1
S284,0
S285,3
S286,5
S287,5
S288,0
S289,4
S290,1
S291,0
S292,0
S293,1
S294,5
S295,1
S296,2
S297,1
S298,0
S299,1
S300,0
S301,5
S302,0
S303,1
S304,0
S305,1
S306,4
S307,0
S308,3
S309,3
S310,5
S311,4
S312,1
S313,5
S314,4
S315,1
S316,1
S317,1
S318,1
S319,0
S320,5
S321,1
S322,5
S323,1
S324,0
S325,0
S326,0
S327,3
S328,3
S329,0
S330,0
S331,1
S332,5
S333,4
S334,0
S335,0
S336,1
S337,3
S338,3
S339,3
S340,1
S341,3
S342,1
S343,0
S344,3
S345,3
S346,4
S347,0
S348,0
S349,3
S350,0
S351,5
S352,0
S353,5
S354,1
S355,1
S356,0
S357,1
S358,0
S359,5
S360,4
S361,0
S362,5
S363,3
S364,0
S365,5
S366,3
S367,1
S368,0
S369,5
S370,3
S371,1
S372,3
S373,1
S374,1
S375,0
S376,0
S377,0
S378,4
S379,4
S380,4
S381,1
S382,5
S383,5
S384,1
S385,5
S386,0
S387,1
S388,3
S389,5
S390,5
S391,3
S392,1
S393,1
S394,4
S395,5
S396,1
S397,4
S398,0
S399,1
S400,1
S401,4
S402,4
S403,1
S404,4
S405,3
S406,3
S407,4
S408,0
S409,1
S410,3
S411,4
S412,0
S413,3
S414,5
S415,1
S416,5
S417,0
S418,3
S419,5
S420,4
S421,1
S422,0
S423,5
S424,0
S425,5
S426,2
S427,4
S428,1
S429,4
S430,3
S431,5
S432,5
S433,0
S434,3
S435,3
S436,3
S437,0
S438,0
S439,0
S440,5
S441,0
S442,0
S443,3
S444,0
S445,3
S446,0
S447,5
S448,1
S449,3
S450,1
S451,0
